"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","1946-12-30","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-01","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-02","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-03","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-05","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-04","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-06","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-07","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-08","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-09","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-11","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-10","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-13","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-12","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-14","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-15","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-16","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-17","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-19","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-18","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-20","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-21","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-23","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-22","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-25","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-24","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-26","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-27","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-28","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-29","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","1946-12-31","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-06","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-18","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-21","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-22","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-01","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-02","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-03","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-05","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-04","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-07","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-08","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-09","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-11","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-10","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-13","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-12","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-14","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-15","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-16","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-17","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-19","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-20","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-23","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-25","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-24","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-26","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-27","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-28","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-29","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-30","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","1946-12-31","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","1946-12-01","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","1946-12-02","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","1946-12-03","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","1946-12-05","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","1946-12-04","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","1946-12-06","1946","12","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","1946-12-07","1946","12","NA","IMD GRID MODEL"
