"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-01","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-02","2022","12","1.1338E-6","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-04","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-03","2022","12","0.0681503914","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-05","2022","12","7.34941E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-06","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-07","2022","12","2.71841E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-09","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-11","2022","12","9.34879E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-10","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-12","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-13","2022","12","3.02045E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-14","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-15","2022","12","5.73886E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-16","2022","12","3.02045E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-17","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-18","2022","12","3.3225E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-19","2022","12","0.0006128654","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-20","2022","12","0.0002301586","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-21","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-22","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-23","2022","12","9.0614E-6","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-24","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-25","2022","12","4.22864E-5","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-26","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-27","2022","12","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-12-28","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-01","2022","12","1.0634825894","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-02","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-04","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-03","2022","12","0.0002104522","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2022-12-05","2022","12","NA","NRSC VIC MODEL"
