"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-01","2022","10","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-02","2022","10","0.0002091401","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-03","2022","10","2.52E-8","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-04","2022","10","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-05","2022","10","NA","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-06","2022","10","5.5964E-6","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-07","2022","10","0.0093275866","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-08","2022","10","0.4252775679","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-09","2022","10","4.0381172631","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-10","2022","10","0.1720230685","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-11","2022","10","0.1698837626","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-12","2022","10","0.1207127515","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-13","2022","10","5.74E-8","NRSC VIC MODEL"
"Area of Inland drainage in Rajasthan Basin","Area of Inland drainage in Rajasthan","2022-10-14","2022","10","NA","NRSC VIC MODEL"
